Date,symbol,open,high,low,close,volume,per_of_change,ema_3,ema_9,ema_50,ema_200,Gain,Loss,AvgGain,AvgLoss,RS,RSI,RSI_Highest_High,RSI_Lowest_Low,14_Day_Stoch_RSI,RSI_K_Line,RSI_D_Line,EMA9_EMA50_EMA200,Purchase_Sell,buy_sell_condition,Open_Position,Running_PnL,Strategy_Return,Buy_Hold_Return
2019-01-22,TM,124.0,124.3499984741211,123.05999755859375,123.5999984741211,159800,0.0,,,,,0.0,0.0,,,,,,,,,,False,0.0,,0,0.0,12.68,17.67
2019-01-23,TM,123.06999969482422,123.27999877929688,121.91000366210938,122.47000122070312,130600,-0.914,,,,,0.0,1.1299972534179688,,,,,,,,,,False,0.0,,0,0.0,,
2019-01-24,TM,122.63999938964844,123.06999969482422,122.30999755859375,122.83000183105469,90400,0.294,122.9325008392334,,,,0.3600006103515625,0.0,,,,,,,,,,False,0.0,,0,0.0,,
2019-01-25,TM,123.73999786376953,123.98999786376953,123.45999908447266,123.72000122070312,80000,0.725,123.32625102996826,,,,0.8899993896484375,0.0,,,,,,,,,,False,0.0,,0,0.0,,
2019-01-28,TM,122.26000213623047,122.56999969482422,121.86000061035156,122.4800033569336,132000,-1.002,122.90312719345093,,,,0.0,1.2399978637695312,,,,,,,,,,False,0.0,,0,0.0,,
2019-01-29,TM,122.4800033569336,122.83000183105469,122.19000244140625,122.2699966430664,85300,-0.171,122.58656191825867,,,,0.0,0.2100067138671875,,,,,,,,,,False,0.0,,0,0.0,,
2019-01-30,TM,122.0999984741211,123.48999786376953,121.69000244140625,123.04000091552734,132300,0.63,122.813281416893,,,,0.7700042724609375,0.0,,,,,,,,,,False,0.0,,0,0.0,,
2019-01-31,TM,122.69999694824219,123.37999725341797,122.33000183105469,123.16999816894531,108500,0.106,122.99163979291916,,,,0.12999725341796875,0.0,,,,,,,,,,False,0.0,,0,0.0,,
2019-02-01,TM,122.43000030517578,122.6500015258789,121.6500015258789,122.0,152700,-0.95,122.49581989645958,122.83167583546879,,,0.0,1.1699981689453125,,,,,,,,,,False,0.0,,0,0.0,,
2019-02-04,TM,122.44000244140625,122.94000244140625,121.94000244140625,122.9000015258789,104000,0.738,122.69791071116924,122.84534097355082,,,0.9000015258789062,0.0,,,,,,,,,,False,0.0,,0,0.0,,
2019-02-05,TM,123.5199966430664,123.72000122070312,123.20999908447266,123.47000122070312,120300,0.464,123.08395596593618,122.97027302298129,,,0.5699996948242188,0.0,,,,,,,,,,False,0.0,,0,0.0,,
2019-02-06,TM,121.72000122070312,122.01000213623047,120.58000183105469,121.05000305175781,271200,-1.96,122.066979508847,122.5862190287366,,,0.0,2.4199981689453125,,,,,,,,,,False,0.0,,0,0.0,,
